Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
1305,130.5,2749,3.788933495,3.600662129,6.675572129,7.341785559,3.418851618,4.083373007,11.22097545,10.04773656,5682.051858,5771.086033,0.578516982
1306,130.6,2751,4.28637143,3.591819847,7.10561898,7.335662674,3.484854821,4.096991784,10.17264209,10.04891632,5567.60018,5774.490966,0.632089802
1307,130.7,2753,4.599487327,3.579173064,6.93044923,7.331667732,3.503380242,4.100201478,10.98366902,10.05051405,5546.127738,5778.769205,0.662709427
1308,130.8,2755,3.728350265,3.566848225,6.413588683,7.325548564,5.40490297,4.110038895,10.60668102,10.04682203,5630.143138,5783.292162,0.571516706
1309,130.9,2756,3.324878316,3.565466564,5.758552135,7.326430445,2.570782203,4.094766529,10.92594636,10.05121846,5837.18235,5785.775672,0.521775756
1310,131,2758,3.124090092,3.569938217,5.635008992,7.337833164,3.288515886,4.117453443,10.95614666,10.05049924,5776.422203,5786.66933,0.494723549
1311,131.1,2760,3.129246099,3.577565416,5.767831899,7.355667,3.911557623,4.140439023,9.525135775,10.03467702,5843.471512,5786.16844,0.495439719
1312,131.2,2762,3.0250943,3.586086025,5.794402723,7.368782925,2.626068332,4.152089457,9.673356735,10.02945931,5855.609616,5783.817526,0.480738917
1313,131.3,2763,3.39060052,3.594850195,6.173231292,7.382401565,4.910524892,4.175821257,9.70769787,10.02978537,5880.30372,5781.755451,0.530276624
1314,131.4,2765,2.999430445,3.608724415,6.015711623,7.400255205,3.134236308,4.174352965,10.98654079,10.02862487,5810.445846,5779.630689,0.477038795
1315,131.5,2767,2.666051509,3.629436799,5.889040848,7.425192071,3.427309727,4.208215323,10.77557045,10.01584332,5925.31721,5776.2129,0.425868536
1316,131.6,2768,2.851832548,3.664484489,5.680719317,7.465805235,3.081290339,4.233179195,10.74821441,10.00891612,5902.767757,5769.358896,0.455124021
1317,131.7,2770,3.09021234,3.703959691,5.36895413,7.514379038,2.649699756,4.264080733,10.52021206,10.00995224,5854.402498,5761.950475,0.489988322
1318,131.8,2772,2.696258438,3.732468395,5.194657116,7.552221803,2.71637977,4.307110743,11.01916052,10.00741386,6003.811514,5756.420838,0.430761517
1319,131.9,2774,2.797991117,3.748545736,4.95133048,7.595055398,2.902620459,4.314037976,10.94044963,9.9985284,5879.791184,5751.909591,0.446846331
1320,132,2775,2.845950491,3.771332676,5.997061175,7.645079345,2.421379788,4.319593123,10.27817683,9.99249586,5864.732019,5747.939145,0.454227341
1321,132.1,2777,2.747079569,3.799938658,5.640139212,7.6907038,2.256055685,4.351304238,10.80349356,10.00006243,5965.966022,5744.002824,0.438871239
1322,132.2,2779,2.842045083,3.830877164,6.007951117,7.746353648,2.908139154,4.373869871,9.908644616,10.00208999,5887.701744,5737.593393,0.453630963
